location,title,date,url,excerpt,source,keywords,is_theft_related,is_business_related,store_type,business_name,detailed_location
Other,"1 killed, 3 arrested after suspected drunk driving crash, police say",,https://www.wfaa.com/article/news/crime/arlington-drunk-driving-crash-arrest-three-men/287-cb97cf5c-9ec4-467f-8e55-0479d47aec7c,No excerpt available,WFAA Crime News,police,True,False,,,
Other,Frisco track meet stabbing: Fundraiser for teen murder suspect raises more than $350K,,https://www.wfaa.com/section/collin-county,No excerpt available,WFAA Crime News,suspect,True,False,,,
